;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S2;Resting Open;0.027672999;0.039141373;0.027051955;0.033638185;0.027466932;0.039361319;0.027174956;0.033743154;0.026486218;0.039365905;0.028669759;0.040343672;0.024496597;0.03955169;0.024759621;0.028916841;0.024288737;0.040457474;0.02502167;0.029390039;0.025007056;0.038689385;0.024776995;0.028708381;0.024850066;0.038589684;0.02286097;0.024431926;2.5242;5.86987;-4.26133;1.05342
S3;Resting Open;0.042006803;0.02898567;0.020671536;0.034795741;0.037396195;0.027548765;0.021042314;0.037656538;0.041183965;0.027819765;0.019071472;0.036336918;0.039128835;0.02689324;0.022203445;0.035391457;0.041168392;0.032060661;0.024038124;0.044392791;0.038157267;0.025415146;0.018422953;0.030336552;0.034651801;0.023598399;0.020003014;0.031124212;9.76841;-0.559311;-5.47265;3.42845
S5;Resting Open;0.021182508;0.02160515;0.052780642;0.025549062;0.020916023;0.019907673;0.068427246;0.030473581;0.020304558;0.019146794;0.07767702;0.030143431;0.021562794;0.022616559;0.047118661;0.024597888;0.020965792;0.019916449;0.046065917;0.025363719;0.017407837;0.017954432;0.05818348;0.024046312;0.019372184;0.018911041;0.040893031;0.021150946;-0.359932;-4.56168;2.9401;-1.86587
S6;Resting Open;0.020002241;0.021968701;0.039790114;0.037719591;0.023986649;0.024196546;0.043408249;0.04500114;0.024532315;0.025971048;0.050991419;0.063553883;0.018648442;0.020785441;0.04676642;0.040642654;0.017698638;0.018275188;0.060940096;0.05020132;0.018998186;0.020023413;0.03563107;0.028453087;0.015385501;0.015717771;0.033260037;0.021465851;-0.71006;-4.10441;0.120552;6.06406
S7;Resting Open;0.026663581;0.053264925;0.020858661;0.025023305;0.028151045;0.054239567;0.023191238;0.029029422;0.028003324;0.05328809;0.023983855;0.030640372;0.025185905;0.051515584;0.020328555;0.0241442;0.027918236;0.050323118;0.01983655;0.0237695;0.024077549;0.047539524;0.020006474;0.023025399;0.025598939;0.048110195;0.017839363;0.020084207;3.0146;12.2166;-5.44286;-2.30722
S10;Resting Open;0.027874785;0.048430407;0.021319757;0.020665008;0.025593235;0.046578498;0.020847522;0.020342191;0.02469374;0.046425067;0.02131472;0.021161188;0.026960723;0.049677964;0.024417714;0.023178863;0.025252023;0.052052166;0.026688591;0.026246403;0.024778749;0.043789359;0.019856026;0.01887278;0.025477526;0.046251367;0.023621153;0.019082008;2.58694;10.3504;-5.07525;-4.33228
S13;Resting Open;0.030459839;0.036119251;0.019219074;0.042448227;0.032162363;0.038530936;0.017890557;0.043666994;0.032844915;0.0389069;0.018988878;0.048162727;0.027531004;0.03513015;0.021651784;0.043044577;0.02609233;0.033292348;0.022717381;0.040993198;0.024789177;0.031278701;0.015562529;0.032640989;0.02608704;0.032488976;0.019406681;0.035573474;4.18529;3.5551;-5.8239;6.27164
S14;Resting Open;0.033478598;0.024685112;0.037215539;0.019114037;0.032379024;0.024734613;0.038481132;0.021983681;0.036989078;0.025514186;0.044514159;0.039281828;0.035182056;0.026704156;0.038963519;0.023381829;0.031305899;0.026607139;0.043891324;0.024249479;0.038376826;0.040943157;0.044035091;0.022891155;0.030639357;0.024950206;0.040774129;0.019305213;6.74604;-0.408156;-0.708498;-2.92676
S15;Resting Open;0.009291049;0.016940681;0.07810659;0.027741977;0.008502656;0.019093942;0.097198577;0.033447222;0.009649209;0.018968354;0.088573588;0.03210389;0.008658815;0.016489657;0.067750276;0.025867069;0.008590833;0.017104561;0.069615115;0.025604075;0.008634223;0.018130042;0.06379944;0.022427807;0.007835117;0.015112365;0.052882851;0.019636519;-6.77713;-5.98037;7.49902;-1.42005
S16;Resting Open;0.037454051;0.033088186;0.018322643;0.024883682;0.038157791;0.032233137;0.019772006;0.028603846;0.03869799;0.032423234;0.017912621;0.02723344;0.038634558;0.034279176;0.017257354;0.02393521;0.04063454;0.034426702;0.015959125;0.026754804;0.05857732;0.029138274;0.015395141;0.019312684;0.039364982;0.031201141;0.016315845;0.018467281;10.2416;2.13975;-6.28449;-2.79668
