;Subject;Test;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 PO7;O2 PO3;O2 PO4;PO7 PO3;PO7 PO4;PO3 PO4
0;2S2;Resting open;0.084021005;0.091647912;0.084146037;0.078144536;0.069517379;0.093648412;0.087271818;0.31507877;0.231682921;0.25343836;0.129907477;0.257939485;0.227931983;0.409102276;0.272943236;0.129907477;0.424606152;0.254563641;0.197174294;0.111902976;0.297074269;0.182795699;0.179669917;0.234933733;0.308827207;0.126531633;0.163290823;0.250812703
0;2S3;Resting open;0.063265816;0.063390848;0.065391348;0.060390098;0.057764441;0.061265316;0.062265566;0.463490873;0.354463616;0.415353838;0.260940235;0.208552138;0.287071768;0.492748187;0.352713178;0.239434859;0.230807702;0.263565891;0.270692673;0.186296574;0.220305076;0.210802701;0.385596399;0.176669167;0.366591648;0.132658165;0.280945236;0.199924981
0;2S5;Resting open;0.073643411;0.074393598;0.07351838;0.072268067;0.071142786;0.103025756;0.089647412;0.420980245;0.272193048;0.423355839;0.22468117;0.330832708;0.397724431;0.349837459;0.303450863;0.182795699;0.345836459;0.287071768;0.196924231;0.149287322;0.279694924;0.185296324;0.348962241;0.229932483;0.451862966;0.154913728;0.281820455;0.331332833
0;2S6;Resting open;0.055013753;0.051637909;0.050887722;0.054513628;0.052763191;0.064766192;0.062390598;0.614403601;0.332458115;0.333708427;0.247936984;0.369967492;0.315203801;0.498749687;0.227181795;0.192298075;0.406476619;0.23755939;0.148412103;0.140535134;0.327206802;0.161290323;0.329582396;0.16404101;0.272193048;0.158789697;0.383845961;0.262815704
0;2S7;Resting open;0.066266567;0.071017754;0.062390598;0.061765441;0.067766942;0.067891973;0.067141785;0.401725431;0.335708927;0.330582646;0.221930483;0.348462116;0.297699425;0.458114529;0.275693923;0.198924731;0.364341085;0.250687672;0.257189297;0.179044761;0.309577394;0.211052763;0.301450363;0.269067267;0.297699425;0.187046762;0.239184796;0.279569892
0;2S8;Resting open;0.063390848;0.065766442;0.066391598;0.062015504;0.06064016;0.071767942;0.067391848;0.604526132;0.412228057;0.560890223;0.340460115;0.522630658;0.44136034;0.524381095;0.423730933;0.265191298;0.561515379;0.343710928;0.305076269;0.214178545;0.42448112;0.237684421;0.438234559;0.36584146;0.453113278;0.24556139;0.351587897;0.402850713
0;2S9;Resting open;0.067391848;0.064141035;0.063015754;0.069142286;0.070517629;0.072393098;0.070892723;0.499749937;0.342710678;0.344586147;0.220805201;0.418729682;0.322580645;0.536134034;0.241810453;0.163665916;0.498499625;0.225056264;0.184671168;0.132908227;0.455488872;0.17291823;0.337334334;0.224306077;0.483870968;0.14716179;0.334708677;0.240185046
0;2S10;Resting open;0.060515129;0.069392348;0.071642911;0.067016754;0.067766942;0.088022006;0.103275819;0.472493123;0.310952738;0.381595399;0.220055014;0.282070518;0.184046012;0.498624656;0.225306327;0.151412853;0.271817954;0.136284071;0.157664416;0.115903976;0.266691673;0.110152538;0.429607402;0.204926232;0.272068017;0.150162541;0.254813703;0.225056264
0;2S11;Resting open;0.083395849;0.086271568;0.087021755;0.080145036;0.080020005;0.099649912;0.113903476;0.517379345;0.393848462;0.495623906;0.246061515;0.404351088;0.242060515;0.522630658;0.367341835;0.199049762;0.441235309;0.216804201;0.278194549;0.16704176;0.39659915;0.172793198;0.4056014;0.302450613;0.290322581;0.18792198;0.247811953;0.277694424
0;2S12;Resting open;0.072018005;0.06364091;0.064891223;0.068392098;0.07351838;0.066891723;0.065391348;0.494498625;0.296824206;0.442860715;0.235433858;0.405726432;0.306451613;0.44636159;0.308827207;0.190172543;0.463115779;0.215303826;0.209927482;0.151162791;0.330332583;0.154913728;0.365341335;0.274443611;0.388472118;0.185796449;0.269567392;0.276069017
0;2S13;Resting open;0.072893223;0.070517629;0.071767942;0.070892723;0.069767442;0.082270568;0.087271818;0.406101525;0.210927732;0.442985746;0.151412853;0.395223806;0.407101775;0.441985496;0.257314329;0.13415854;0.688297074;0.250937734;0.15503876;0.107276819;0.389347337;0.147911978;0.289197299;0.248187047;0.555888972;0.131782946;0.244186047;0.273693423
0;2S2;Resting;0.066266567;0.068517129;0.062265566;0.066266567;0.058389597;0.066391598;0.065891473;0.316579145;0.208177044;0.265566392;0.140285071;0.246436609;0.249937484;0.458864716;0.188797199;0.113778445;0.484246062;0.182170543;0.136034009;0.095523881;0.346336584;0.131907977;0.267191798;0.163290823;0.415853963;0.102150538;0.209677419;0.179794949
0;2S3;Resting;0.075643911;0.086021505;0.088397099;0.080145036;0.083395849;0.078769692;0.073643411;0.41847962;0.321705426;0.358589647;0.232683171;0.254063516;0.234933733;0.490497624;0.300950238;0.192173043;0.301575394;0.203925981;0.238059515;0.173293323;0.312578145;0.172168042;0.399349837;0.18692173;0.303325831;0.13615904;0.236809202;0.204301075
0;2S5;Resting;0.093898475;0.090397599;0.0963991;0.091272818;0.088022006;0.10140035;0.088022006;0.500500125;0.278194549;0.459989997;0.236684171;0.359339835;0.429857464;0.460865216;0.294948737;0.191422856;0.444236059;0.290572643;0.200175044;0.156914229;0.326206552;0.182170543;0.429482371;0.215053763;0.468867217;0.145536384;0.284196049;0.292698175
0;2S6;Resting;0.071142786;0.074893723;0.068267067;0.065141285;0.064766192;0.087646912;0.074768692;0.643410853;0.311577894;0.356964241;0.238184546;0.480995249;0.370092523;0.468242061;0.252313078;0.18492123;0.525131283;0.260065016;0.162415604;0.130907727;0.340710178;0.157289322;0.332833208;0.208802201;0.343210803;0.164791198;0.400100025;0.303950988
0;2S7;Resting;0.064891223;0.068267067;0.068017004;0.061890473;0.055513878;0.07951988;0.064516129;0.225806452;0.176044011;0.34196049;0.232183046;0.252813203;0.318954739;0.403350838;0.13315829;0.134658665;0.347211803;0.164666167;0.11327832;0.110027507;0.307326832;0.142285571;0.260065016;0.155663916;0.31207802;0.143410853;0.286196549;0.228182046
0;2S8;Resting;0.048512128;0.051262816;0.058014504;0.053888472;0.060140035;0.053513378;0.055513878;0.588147037;0.344211053;0.532133033;0.332083021;0.461740435;0.410977744;0.542135534;0.356339085;0.231307827;0.537134284;0.282820705;0.243685921;0.179419855;0.371092773;0.187421855;0.508877219;0.284196049;0.426731683;0.205926482;0.376469117;0.335708927
0;2S9;Resting;0.06164041;0.063015754;0.065016254;0.061015254;0.069142286;0.067516879;0.066516629;0.434483621;0.21467867;0.307951988;0.118154539;0.338084521;0.259314829;0.446861715;0.166916729;0.090772693;0.418104526;0.149537384;0.110027507;0.084646162;0.293323331;0.100150038;0.239309827;0.149037259;0.473618405;0.081270318;0.205301325;0.163915979
0;2S10;Resting;0.068267067;0.070017504;0.070517629;0.070142536;0.063140785;0.075143786;0.093023256;0.528132033;0.33895974;0.441485371;0.233183296;0.414103526;0.251062766;0.574018505;0.267566892;0.166916729;0.401975494;0.178169542;0.205176294;0.151537884;0.318204551;0.141660415;0.489997499;0.26744186;0.353713428;0.161290323;0.259189797;0.302075519
