;Subject;Test;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 PO7;O2 PO3;O2 PO4;PO7 PO3;PO7 PO4;PO3 PO4
0;2S1;Resting Open;0.081645411;0.084271068;0.075643911;0.080770193;0.069642411;0.102150538;0.093898475;0.48712178;0.195173793;0.392973243;0.227181795;0.41747937;0.374218555;0.293698425;0.222930733;0.151162791;0.510002501;0.229557389;0.134783696;0.117529382;0.281445361;0.138409602;0.425606402;0.21867967;0.425356339;0.163165791;0.346211553;0.291697924
0;2S3;Resting Open;0.071392848;0.069017254;0.074268567;0.072643161;0.07851963;0.069767442;0.070267567;0.439609902;0.327456864;0.405976494;0.256314079;0.221305326;0.290947737;0.474618655;0.331082771;0.218054514;0.276569142;0.255063766;0.249562391;0.178544636;0.276819205;0.204426107;0.400100025;0.193298325;0.35483871;0.137284321;0.249187297;0.222180545
0;2S4;Resting Open;0.070767692;0.0963991;0.093773443;0.082770693;0.073393348;0.107651913;0.089397349;0.216554139;0.200550138;0.200300075;0.139534884;0.232683171;0.178794699;0.325206302;0.219054764;0.149412353;0.32208052;0.199424856;0.210177544;0.136409102;0.382970743;0.196174044;0.26444111;0.240185046;0.336334084;0.158664666;0.249062266;0.230432608
0;2S5;Resting Open;0.087146787;0.094148537;0.087271818;0.084146037;0.08752188;0.118404601;0.10140035;0.464741185;0.308077019;0.43935984;0.225806452;0.359589897;0.414353588;0.430482621;0.304826207;0.196174044;0.441485371;0.311577894;0.226056514;0.168042011;0.332583146;0.219554889;0.370842711;0.255813953;0.491622906;0.176294074;0.310577644;0.334208552
0;2S6;Resting Open;0.069267317;0.068892223;0.065141285;0.058264566;0.060390098;0.083270818;0.078769692;0.591522881;0.310077519;0.30420105;0.240310078;0.370092523;0.32308077;0.482870718;0.206051513;0.173668417;0.421105276;0.228057014;0.141785446;0.131907977;0.329457364;0.156664166;0.334458615;0.161790448;0.274443611;0.156414104;0.391847962;0.271942986
0;2S7;Resting Open;0.076894224;0.070017504;0.071142786;0.071267817;0.065516379;0.074268567;0.080645161;0.338084521;0.294948737;0.355963991;0.164791198;0.34696174;0.328332083;0.427356839;0.22268067;0.143035759;0.386596649;0.211052763;0.196299075;0.12428107;0.343710928;0.189797449;0.266316579;0.238184546;0.279944986;0.139409852;0.156664166;0.320455114
0;2S8;Resting Open;0.070892723;0.073143286;0.073768442;0.073393348;0.069017254;0.07751938;0.072018005;0.597899475;0.390722681;0.487996999;0.312203051;0.465366342;0.435483871;0.542385596;0.374843711;0.25843961;0.53675919;0.357714429;0.278944736;0.207426857;0.407726932;0.244436109;0.402850713;0.311077769;0.390472618;0.213928482;0.306826707;0.40460115
0;2S9;Resting Open;0.061765441;0.06164041;0.061515379;0.058389597;0.060515129;0.071392848;0.06064016;0.492748187;0.323205801;0.346461615;0.200175044;0.404351088;0.309577394;0.498749687;0.220930233;0.145786447;0.481245311;0.205551388;0.159414854;0.11327832;0.394348587;0.151412853;0.306326582;0.209427357;0.448862216;0.136659165;0.2931983;0.238809702
0;2S10;Resting Open;0.07551888;0.071517879;0.067266817;0.084896224;0.078769692;0.085771443;0.112528132;0.457739435;0.296699175;0.378094524;0.186546637;0.287071768;0.222555639;0.465491373;0.244186047;0.13715929;0.287571893;0.16004001;0.190547637;0.120405101;0.311702926;0.143410853;0.410977744;0.205426357;0.305451363;0.13715929;0.26044011;0.234808702
0;2S11;Resting Open;0.081395349;0.08552138;0.079394849;0.074393598;0.083395849;0.095648912;0.11227807;0.50500125;0.398849712;0.498499625;0.249187297;0.419854964;0.231807952;0.490747687;0.349087272;0.195173793;0.441110278;0.196674169;0.276069017;0.163415854;0.372968242;0.154663666;0.396349087;0.315453863;0.27931983;0.199674919;0.268942236;0.259564891
0;2S13;Resting Open;0.077644411;0.077894474;0.080020005;0.064766192;0.054013503;0.088647162;0.075893973;0.410602651;0.223430858;0.381595399;0.124781195;0.396474119;0.388722181;0.451612903;0.220930233;0.102650663;0.677169292;0.239184796;0.146286572;0.099274819;0.41447862;0.153413353;0.243935984;0.214178545;0.517504376;0.095023756;0.19779945;0.26144036
0;2S1;Resting;0.077644411;0.075768942;0.074143536;0.069642411;0.055888972;0.083770943;0.084396099;0.465741435;0.25243811;0.455738935;0.216929232;0.391222806;0.363590898;0.407851963;0.27731933;0.147411853;0.563140785;0.235433858;0.169292323;0.107901975;0.356589147;0.155913978;0.418854714;0.23955989;0.519754939;0.13315829;0.322455614;0.243060765
0;2S3;Resting;0.075643911;0.086021505;0.088397099;0.080145036;0.083395849;0.078769692;0.073643411;0.41847962;0.321705426;0.358589647;0.232683171;0.254063516;0.234933733;0.490497624;0.300950238;0.192173043;0.301575394;0.203925981;0.238059515;0.173293323;0.312578145;0.172168042;0.399349837;0.18692173;0.303325831;0.13615904;0.236809202;0.204301075
0;2S4;Resting;0.069267317;0.067391848;0.067266817;0.066266567;0.06464116;0.069392348;0.067391848;0.326581645;0.266191548;0.257814454;0.134408602;0.317829457;0.222930733;0.428982246;0.226431608;0.131407852;0.402350588;0.184796199;0.1987997;0.127531883;0.375843961;0.167291823;0.302450613;0.21667917;0.460990248;0.124531133;0.269067267;0.215803951
