;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S2;Resting Open;1;0.190191083;0.190700637;0.185477707;0.203312102;0.203821656;0.182675159;0.160254777;1;0.950955414;0.673375796;0.61656051;0.557070064;0.781910828;0.47477707;1;0.681146497;0.614649682;0.553248408;0.787770701;0.472738854;1;0.481656051;0.434394904;0.655796178;0.383057325;1;0.755031847;0.633757962;0.590318471;1;0.564076433;0.605859873;1;0.524713376;1;25.1403;15.7055;12.1783;14.1774
0;S3;Resting Open;1;0.163949045;0.148152866;0.152993631;0.153630573;0.150573248;0.121528662;0.143184713;1;0.57044586;0.471974522;0.581146497;0.37477707;0.434904459;0.547770701;1;0.507133758;0.440509554;0.281910828;0.421273885;0.419490446;1;0.335414013;0.235286624;0.369936306;0.323949045;1;0.407898089;0.351464968;0.572484076;1;0.250573248;0.410828025;1;0.400127389;1;2.34041;-1.16569;1.6776;0.499707
0;S6;Resting Open;1;0.130191083;0.122420382;0.098726115;0.135923567;0.147770701;0.109936306;0.125859873;1;0.592356688;0.361783439;0.511974522;0.366624204;0.500636943;0.512738854;1;0.443184713;0.435031847;0.30955414;0.559745223;0.438726115;1;0.27656051;0.214649682;0.425095541;0.279617834;1;0.517961783;0.388789809;0.572484076;1;0.291592357;0.479235669;1;0.443312102;1;2.24222;0.526336;3.02646;0.891638
0;S7;Resting Open;1;0.126496815;0.125350318;0.117834395;0.13044586;0.12866242;0.100509554;0.114012739;1;0.608917197;0.567898089;0.609808917;0.44089172;0.537197452;0.520764331;1;0.670191083;0.469936306;0.330318471;0.538343949;0.409808917;1;0.432229299;0.310191083;0.510573248;0.365477707;1;0.553757962;0.43910828;0.557452229;1;0.335159236;0.503184713;1;0.434649682;1;10.5345;5.24102;5.06807;5.16744
0;S10;Resting Open;1;0.116687898;0.108535032;0.108917197;0.130063694;0.136178344;0.092611465;0.122292994;1;0.702675159;0.538853503;0.63388535;0.412229299;0.561528662;0.614522293;1;0.748407643;0.457834395;0.307133758;0.683566879;0.45566879;1;0.364713376;0.256433121;0.609171975;0.360764331;1;0.630828025;0.388789809;0.757834395;1;0.267770701;0.553503185;1;0.407770701;1;10.4692;8.71236;8.46477;6.49815
0;S13;Resting Open;1;0.167388535;0.151847134;0.14522293;0.156178344;0.157707006;0.134904459;0.153757962;1;0.595796178;0.489044586;0.637579618;0.500254777;0.483694268;0.578726115;1;0.665987261;0.479363057;0.388535032;0.563184713;0.458853503;1;0.38611465;0.329171975;0.516305732;0.368407643;1;0.636305732;0.430318471;0.704076433;1;0.378471338;0.62433121;1;0.483949045;1;12.8221;6.35847;8.67424;6.72517
0;S14;Resting Open;1;0.154394904;0.150318471;0.117579618;0.153503185;0.154394904;0.120636943;0.133757962;1;0.410828025;0.253630573;0.406878981;0.328917197;0.401019108;0.419363057;1;0.403312102;0.352611465;0.283821656;0.458089172;0.35566879;1;0.213503185;0.189936306;0.271974522;0.205859873;1;0.388535032;0.327133758;0.431974522;1;0.251464968;0.350318471;1;0.384713376;1;-6.91126;-6.37294;-3.44181;-4.95569
0;S15;Resting Open;1;0.14522293;0.14;0.14;0.152356688;0.157834395;0.098598726;0.097197452;1;0.652866242;0.493503185;0.640127389;0.377834395;0.478471338;0.372101911;1;0.633630573;0.435031847;0.281273885;0.472484076;0.267898089;1;0.338980892;0.23566879;0.459490446;0.228152866;1;0.561910828;0.384585987;0.444840764;1;0.258343949;0.347261146;1;0.421019108;1;1.84094;0.82445;-0.888495;1.99305
0;S16;Resting Open;1;0.130318471;0.117707006;0.132993631;0.143694268;0.156433121;0.12522293;0.129426752;1;0.468407643;0.436815287;0.491719745;0.367643312;0.401783439;0.388917197;1;0.478216561;0.39133758;0.280764331;0.439490446;0.330318471;1;0.376942675;0.284968153;0.42089172;0.301273885;1;0.459745223;0.373375796;0.468789809;1;0.281019108;0.348025478;1;0.376050955;1;0.223401;-2.27579;-1.55992;-1.51898
0;S18;Resting Open;1;0.214267516;0.206624204;0.193375796;0.223949045;0.215796178;0.168535032;0.174394904;1;0.723057325;0.555414013;0.641528662;0.508535032;0.552866242;0.462802548;1;0.69477707;0.571210191;0.440509554;0.591847134;0.395286624;1;0.441910828;0.348407643;0.544713376;0.305095541;1;0.662675159;0.454649682;0.521019108;1;0.360764331;0.527770701;1;0.427388535;1;13.4393;7.28194;5.93348;7.9154
