Subject;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S2;Resting Open;0.022551102;0.030489893;0.025274798;0.021902898;0.028035507;0.038924788;0.065142421;0.058667018;0.101487079;0.11600597;0.270781799;0.212750366
S3;Resting Open;0.038131849;0.023325233;0.012144385;0.025248743;0.049912199;0.042786639;0.03440572;0.079416145;0.127635255;0.130309221;0.139352681;0.293113373
S5;Resting Open;0.00726165;0.010035258;0.029445792;0.018645704;0.036110573;0.02170198;0.07628784;0.048006565;0.250503084;0.091747021;0.252182516;0.155787744
S6;Resting Open;0.008174438;0.014020481;0.033499066;0.017309674;0.013077064;0.033343083;0.093823991;0.064483831;0.058550339;0.109769505;0.293345665;0.25720008
S7;Resting Open;0.02196463;0.028882351;0.011611305;0.012192423;0.037113028;0.051486375;0.037244507;0.054774713;0.17236655;0.189368194;0.146954253;0.233397235
S10;Resting Open;0.019860365;0.019072914;0.02706676;0.014292371;0.026809141;0.033041994;0.075968636;0.055669499;0.107512462;0.12045892;0.256713839;0.236403755
S11;Resting Open;0.008332078;0.015296684;0.041751919;0.011634345;0.016406852;0.02530723;0.119942787;0.032570893;0.05340667;0.075910771;0.487765902;0.109046583
S13;Resting Open;0.020206311;0.026280847;0.013373024;0.036021641;0.039978074;0.044048606;0.030431731;0.08468028;0.145259757;0.178178322;0.106597841;0.269494489
S14;Resting Open;0.024277496;0.020634885;0.028568202;0.018174808;0.032384739;0.036355505;0.06183089;0.054436799;0.095343827;0.146948073;0.21643143;0.255719192
S15;Resting Open;0.004191558;0.010834532;0.057186423;0.012781897;0.007895677;0.017235803;0.15738403;0.03726498;0.04026507;0.064233137;0.464153178;0.123968643
S16;Resting Open;0.036566199;0.03409309;0.012274149;0.015579024;0.045114569;0.055238743;0.037742083;0.065697937;0.144565228;0.175218266;0.1267454;0.241184175
S18;Resting Open;0.02393008;0.03406522;0.027663142;0.0266205;0.026762871;0.051733375;0.057881164;0.063907279;0.096962661;0.159681004;0.194415564;0.232405941
S19;Resting Open;0.016302474;0.024526574;0.022546162;0.014453461;0.0367268;0.048652912;0.059296418;0.035790207;0.142054377;0.189184889;0.265988007;0.140344543
S20;Resting Open;0.053466347;0.033812376;0.02044601;0.018196292;0.038952344;0.043013918;0.05838002;0.063449351;0.108624752;0.110507594;0.205193545;0.243739977
S22;Resting Open;0.028738121;0.026284598;0.01682737;0.056051181;0.038706165;0.044281568;0.047904427;0.09083721;0.120708673;0.135114346;0.16817683;0.21731391
